ParticipantID,Name,Age,Gender,College,State,Event,Day,Time,Score,Registration,Satisfaction,Feedback,TotalUsers
P001,Neha Gupta,25,Female,College E,Uttar Pradesh,Singing,Day 4,18:39,75,On-site,5,Needs improvement in planning.,2584
P002,Raj Brown,18,Male,College D,Rajasthan,Treasure Hunt,Day 1,17:55,64,Online,4,Could be better organized.,3041
P003,Sam Jones,19,Non-binary,College C,Kerala,Quiz,Day 5,12:46,100,On-site,2,Had a great time with friends.,2812
P004,Casey Sharma,18,Male,College E,Gujarat,Poetry,Day 2,15:53,67,On-site,2,Had a great time with friends.,3211
P005,Cameron Kumar,21,Female,College C,Punjab,Solo Dance,Day 2,11:11,86,On-site,5,Incredible talent showcased.,2628
P006,Raj Joshi,24,Male,College E,Rajasthan,Solo Dance,Day 5,14:39,99,On-site,5,Not up to the mark.,3237
P007,Arjun Patel,25,Male,College A,Uttar Pradesh,Photography,Day 5,11:42,98,Online,3,Needs improvement in planning.,3265
P008,Casey Smith,22,Non-binary,College E,Kerala,Quiz,Day 1,17:24,69,Online,5,Disappointing experience.,2900
P009,Jamie Reddy,18,Male,College A,West Bengal,Debate,Day 1,17:56,83,On-site,3,Disappointing experience.,3263
P010,Drew Wilson,25,Male,College C,Punjab,Poetry,Day 4,11:09,87,On-site,2,Had a great time with friends.,3339
P011,Alex Shah,23,Non-binary,College E,Gujarat,Drama,Day 3,15:37,98,Online,2,The event was too long.,2902
P012,Robin Williams,25,Male,College B,Gujarat,Photography,Day 5,12:21,63,Online,4,The event was too long.,2722
P013,Meera Patel,21,Non-binary,College E,Madhya Pradesh,Photography,Day 3,14:53,83,Online,1,Well organized and fun.,3203
P014,Arjun Miller,25,Male,College C,West Bengal,Drama,Day 4,16:30,91,On-site,1,Had a great time with friends.,2780
P015,Taylor Shah,23,Non-binary,College A,Kerala,Solo Dance,Day 4,15:58,84,On-site,4,The event was too long.,2642
P016,Casey Sharma,19,Male,College C,Tamil Nadu,Solo Dance,Day 4,11:36,64,On-site,3,Well organized and fun.,3271
P017,Casey Singh,18,Male,College C,Maharashtra,Debate,Day 3,13:09,70,Online,4,Disappointing experience.,2910
P018,Drew Joshi,24,Male,College D,Gujarat,Drama,Day 1,12:46,60,Online,1,Not up to the mark.,3286
P019,Cameron Patel,18,Male,College C,Maharashtra,Debate,Day 3,14:04,86,On-site,4,Not up to the mark.,2521
P020,Alex Verma,19,Non-binary,College E,Gujarat,Singing,Day 2,15:01,73,On-site,4,Disappointing experience.,3103
P021,Robin Reddy,18,Male,College E,Kerala,Solo Dance,Day 3,16:53,76,On-site,1,The event was too long.,3189
P022,Arjun Garcia,24,Female,College A,Gujarat,Treasure Hunt,Day 5,17:34,89,Online,5,Incredible talent showcased.,3044
P023,Meera Smith,21,Non-binary,College A,Uttar Pradesh,Fashion Show,Day 2,17:05,66,On-site,5,Could be better organized.,3263
P024,Divya Verma,18,Non-binary,College B,Rajasthan,Poetry,Day 2,14:11,91,On-site,2,Not up to the mark.,2769
P025,Priya Verma,23,Non-binary,College A,Delhi,Singing,Day 2,11:05,72,On-site,5,Loved the performance!,3175
